make,model,vehicleclass,enginesize,cylinders,transmission,fueltype,cityconsumption,hwyconsumption,combconsumption,combmpg,co2emission
Audi,Q5,SUV Small,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,12.9,9.2,11.2,25,258
Audi,Q5 Tdi (Modified),SUV Small,3,6,Automatic Select Shift 8 Speed,Diesel,10.2,7.8,9,31,244
Audi,Q5 Hybrid,SUV Small,2,4,Automatic Select Shift 8 Speed,Premium Gasoline,9.9,8.3,9.2,31,212
Audi,Q7,SUV Standard,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,15.1,10.9,13.2,21,304
Audi,Q7 Tdi (Modified),SUV Standard,3,6,Automatic Select Shift 8 Speed,Diesel,12.4,8.7,10.7,26,290
Audi,R8,Two Seater,4.2,8,Automatic 7 Speed,Premium Gasoline,17.6,11,14.6,19,336
Audi,R8,Two Seater,4.2,8,Manual 6 Speed,Premium Gasoline,21.2,13.4,17.7,16,407
Audi,R8,Two Seater,5.2,10,Automatic 7 Speed,Premium Gasoline,18.2,10.6,14.8,19,347
Audi,R8,Two Seater,5.2,10,Manual 6 Speed,Premium Gasoline,21.1,13.8,17.8,16,409
Audi,R8 Spyder,Two Seater,4.2,8,Automatic 7 Speed,Premium Gasoline,17.6,11,14.6,19,336
Audi,R8 Spyder,Two Seater,4.2,8,Manual 6 Speed,Premium Gasoline,21.2,13.4,17.7,16,407
Audi,R8 Spyder,Two Seater,5.2,10,Automatic 7 Speed,Premium Gasoline,18.2,10.6,14.8,19,347
Audi,R8 Spyder,Two Seater,5.2,10,Manual 6 Speed,Premium Gasoline,21.1,13.8,17.8,16,409
Audi,Rs 5,Subcompact,4.2,8,Automatic 7 Speed,Premium Gasoline,15.3,10.9,13.3,21,306
Audi,Rs 5 Cabriolet,Subcompact,4.2,8,Automatic 7 Speed,Premium Gasoline,15.2,11.3,13.4,21,308
Audi,Rs 7,Mid Size,4,8,Automatic Select Shift 8 Speed,Premium Gasoline,15.5,8.8,12.5,23,293
Audi,S4,Compact,3,6,Automatic 7 Speed,Premium Gasoline,13.2,9.2,11.4,25,262
Audi,S4,Compact,3,6,Manual 6 Speed,Premium Gasoline,14.6,9.8,12.4,23,285
Audi,S5,Subcompact,3,6,Automatic 7 Speed,Premium Gasoline,13.2,9.2,11.4,25,262
Audi,S5,Subcompact,3,6,Manual 6 Speed,Premium Gasoline,14.6,9.8,12.4,23,285
Audi,S5 Cabriolet,Subcompact,3,6,Automatic 7 Speed,Premium Gasoline,13.3,9.5,11.6,24,267
Audi,S6,Mid Size,4,8,Automatic 7 Speed,Premium Gasoline,14.2,9.7,12.2,23,281
Audi,S7,Mid Size,4,8,Automatic 7 Speed,Premium Gasoline,14.2,9.7,12.2,23,281
Audi,S8,Mid Size,4,8,Automatic Select Shift 8 Speed,Premium Gasoline,15.8,9.2,12.8,22,300
Audi,Sq5,SUV Small,3,6,Automatic Select Shift 8 Speed,Premium Gasoline,14.9,10.1,12.7,22,292
Audi,Tt Coupe Quattro,Subcompact,2,4,Automatic 6 Speed,Premium Gasoline,10.4,7.6,9.1,31,209
Audi,Tt Roadster Quattro,Two Seater,2,4,Automatic 6 Speed,Premium Gasoline,10.4,7.6,9.1,31,209
Audi,Tts Coupe Quattro,Subcompact,2,4,Automatic 6 Speed,Premium Gasoline,11.5,8.8,10.3,27,237
Audi,Tts Roadster Quattro,Two Seater,2,4,Automatic 6 Speed,Premium Gasoline,11.5,8.8,10.3,27,237
Bentley,Continental Gt,Subcompact,4,8,Automatic Select Shift 8 Speed,Premium Gasoline,16.3,9.8,13.4,21,314
Bentley,Continental Gt,Subcompact,6,12,Automatic Select Shift 8 Speed,Premium Gasoline,18.8,11.5,15.5,18,356
Bentley,Continental Gtc,Subcompact,4,8,Automatic Select Shift 8 Speed,Premium Gasoline,17.4,10.2,14.2,20,332
Bentley,Continental Gtc,Subcompact,6,12,Automatic Select Shift 8 Speed,Premium Gasoline,20,12.2,16.5,17,380
Bentley,Continental Gt Speed Convertible,Subcompact,6,12,Automatic Select Shift 8 Speed,Premium Gasoline,20,12.2,16.5,17,380
Bentley,Flying Spur,Mid Size,6,12,Automatic Select Shift 8 Speed,Premium Gasoline,20.3,11.9,16.5,17,388
Bentley,Mulsanne,Mid Size,6.8,8,Automatic Select Shift 8 Speed,Premium Gasoline,22.3,14.9,19,15,437
Bmw,320I,Compact,2,4,Automatic 8 Speed,Premium Gasoline,10,6.5,8.4,34,193
Bmw,320I,Compact,2,4,Manual 6 Speed,Premium Gasoline,10.4,6.7,8.7,32,200
Bmw,320I Xdrive,Compact,2,4,Automatic 8 Speed,Premium Gasoline,10.2,7,8.8,32,202
Bmw,328D Xdrive,Compact,2,4,Automatic 8 Speed,Diesel,7.6,5.5,6.7,42,181
Bmw,328D Xdrive Touring,Station Wagon Small,2,4,Automatic 8 Speed,Diesel,7.6,5.5,6.7,42,181
Bmw,328I,Compact,2,4,Automatic 8 Speed,Premium Gasoline,10,6.5,8.4,34,193
Bmw,328I,Compact,2,4,Manual 6 Speed,Premium Gasoline,10.4,6.7,8.7,32,200
Bmw,328I Xdrive,Compact,2,4,Automatic 8 Speed,Premium Gasoline,10.6,7.2,9.1,31,209
Bmw,328I Xdrive Gran Turismo,Full Size,2,4,Automatic 8 Speed,Premium Gasoline,10.6,7.2,9.1,31,209
Bmw,328I Xdrive Touring,Station Wagon Small,2,4,Automatic 8 Speed,Premium Gasoline,10.6,7.2,9.1,31,209
Bmw,335I,Compact,3,6,Automatic 8 Speed,Premium Gasoline,11.4,7.3,9.6,29,221
Bmw,335I,Compact,3,6,Manual 6 Speed,Premium Gasoline,11.8,7.9,10,28,230
Bmw,335I Xdrive,Compact,3,6,Automatic 8 Speed,Premium Gasoline,11.7,7.8,9.9,29,228
Bmw,335I Xdrive,Compact,3,6,Manual 6 Speed,Premium Gasoline,11.9,8.3,10.3,27,237
Bmw,335I Xdrive Gran Turismo,Full Size,3,6,Automatic 8 Speed,Premium Gasoline,11.9,8,10.1,28,232
Bmw,428I Coupe,Compact,2,4,Automatic 8 Speed,Premium Gasoline,10,6.5,8.4,34,193
Bmw,428I Coupe,Compact,2,4,Manual 6 Speed,Premium Gasoline,10.4,6.7,8.7,32,200
Bmw,428I Xdrive Coupe,Compact,2,4,Automatic 8 Speed,Premium Gasoline,10.6,7.2,9.1,31,209
Bmw,435I Coupe,Compact,3,6,Automatic 8 Speed,Premium Gasoline,11.4,7.3,9.6,29,221
Bmw,435I Coupe,Compact,3,6,Manual 6 Speed,Premium Gasoline,11.8,7.9,10,28,230
Bmw,435I Xdrive Coupe,Compact,3,6,Automatic 8 Speed,Premium Gasoline,11.7,7.8,9.9,29,228
Bmw,435I Xdrive Coupe,Compact,3,6,Manual 6 Speed,Premium Gasoline,11.9,8.3,10.3,27,237
Bmw,528I,Mid Size,2,4,Automatic 8 Speed,Premium Gasoline,10.2,7,8.8,32,202
Bmw,528I Xdrive,Mid Size,2,4,Automatic 8 Speed,Premium Gasoline,10.6,7.2,9.1,31,209
Bmw,535D Xdrive,Mid Size,3,6,Automatic 8 Speed,Diesel,9.2,6.4,7.9,36,213
Bmw,535I Xdrive,Mid Size,3,6,Automatic 8 Speed,Premium Gasoline,11.9,8,10.1,28,232
Bmw,535I Xdrive Gran Turismo,Full Size,3,6,Automatic 8 Speed,Premium Gasoline,12.5,8.6,10.7,26,246
Bmw,550I Xdrive,Mid Size,4.4,8,Automatic 8 Speed,Premium Gasoline,14.4,9.6,12.2,23,281
Bmw,550I Xdrive Gran Turismo,Full Size,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,640I Xdrive Gran Coupe,Compact,3,6,Automatic 8 Speed,Premium Gasoline,11.9,8,10.1,28,232
Bmw,650I Xdrive Cabriolet,Subcompact,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,650I Xdrive Coupe,Compact,4.4,8,Automatic 8 Speed,Premium Gasoline,14.4,9.6,12.2,23,281
Bmw,650I Xdrive Gran Coupe,Compact,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,740Li Xdrive,Full Size,3,6,Automatic 8 Speed,Premium Gasoline,12.5,8.6,10.7,26,246
Bmw,750I Xdrive,Full Size,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,750Li Xdrive,Full Size,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,760Li,Full Size,6,12,Automatic 8 Speed,Premium Gasoline,18.7,11.5,15.5,18,356
Bmw,Activehybrid 3,Compact,3,6,Automatic 8 Speed,Premium Gasoline,9.2,7.1,8.3,34,191
Bmw,Activehybrid 5,Mid Size,3,6,Automatic 8 Speed,Premium Gasoline,10.5,7.9,9.3,30,214
Bmw,Activehybrid 7L,Full Size,3,6,Automatic 8 Speed,Premium Gasoline,10.5,7.6,9.2,31,212
Bmw,Alpina B7 Xdrive Lwb,Full Size,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,Alpina B7 Xdrive Swb,Full Size,4.4,8,Automatic 8 Speed,Premium Gasoline,15,9.8,12.7,22,292
Bmw,M5,Mid Size,4.4,8,Automated Manual 7 Speed,Premium Gasoline,17.3,11.5,14.7,19,338
Bmw,M5,Mid Size,4.4,8,Manual 6 Speed,Premium Gasoline,16.2,10.9,13.8,20,317
Bmw,M6,Compact,4.4,8,Automated Manual 7 Speed,Premium Gasoline,17.3,11.5,14.7,19,338
Bmw,M6,Compact,4.4,8,Manual 6 Speed,Premium Gasoline,16.2,10.9,13.8,20,317
Bmw,M6 Cabriolet,Subcompact,4.4,8,Automated Manual 7 Speed,Premium Gasoline,17.3,11.5,14.7,19,338
Bmw,M6 Cabriolet,Subcompact,4.4,8,Manual 6 Speed,Premium Gasoline,16.2,10.9,13.8,20,317
Bmw,M6 Gran Coupe,Compact,4.4,8,Automated Manual 7 Speed,Premium Gasoline,17.3,11.5,14.7,19,338
Bmw,M6 Gran Coupe,Compact,4.4,8,Manual 6 Speed,Premium Gasoline,16.2,10.9,13.8,20,317
Bmw,X1 Xdrive28I,SUV Small,2,4,Automatic 8 Speed,Premium Gasoline,10.6,7.2,9.1,31,209
Bmw,X1 Xdrive35I,SUV Small,3,6,Automatic 6 Speed,Premium Gasoline,13.2,8.9,11.3,25,260
Bmw,X3 Xdrive28I,SUV Small,2,4,Automatic 8 Speed,Premium Gasoline,11.2,8.5,10,28,230
Bmw,X3 Xdrive35I,SUV Small,3,6,Automatic 8 Speed,Premium Gasoline,12.6,9.1,11,26,253
Bmw,X5 Xdrive35I,SUV Standard,3,6,Automatic 8 Speed,Premium Gasoline,12.9,8.8,11.1,25,255
Bmw,X5 Xdrive50I,SUV Standard,4.4,8,Automatic 8 Speed,Premium Gasoline,16.3,10.9,13.9,20,320
Bmw,X6 M,SUV Standard,4.4,8,Automatic 6 Speed,Premium Gasoline,18.1,13.7,16.1,18,370
Bmw,X6 Xdrive35I,SUV Standard,3,6,Automatic 8 Speed,Premium Gasoline,13.6,9.8,11.9,24,274
Bmw,X6 Xdrive50I,SUV Standard,4.4,8,Automatic 8 Speed,Premium Gasoline,16.4,11.3,14.1,20,324
Bmw,Z4 Sdrive28I,Two Seater,2,4,Automatic 8 Speed,Premium Gasoline,10.8,7.1,9.1,31,209
Bmw,Z4 Sdrive28I,Two Seater,2,4,Manual 6 Speed,Premium Gasoline,10.4,6.7,8.7,32,200
Bmw,Z4 Sdrive35I,Two Seater,3,6,Automated Manual 7 Speed,Premium Gasoline,13.7,10.1,12.1,23,278
Bmw,Z4 Sdrive35I,Two Seater,3,6,Manual 6 Speed,Premium Gasoline,12.7,9,11,26,253
Bmw,Z4 Sdrive35Is,Two Seater,3,6,Automated Manual 7 Speed,Premium Gasoline,13.7,10.1,12.1,23,278
Buick,Enclave,SUV Standard,3.6,6,Automatic 6 Speed,Regular Gasoline,14.3,9.9,12.3,23,283
Buick,Enclave Awd,SUV Standard,3.6,6,Automatic 6 Speed,Regular Gasoline,14.6,10.2,12.6,22,290
Buick,Encore,SUV Small,1.4,4,Automatic Select Shift 6 Speed,Regular Gasoline,9.5,7.2,8.5,33,196
Buick,Encore Awd,SUV Small,1.4,4,Automatic Select Shift 6 Speed,Regular Gasoline,10.2,8,9.2,31,212
Buick,Lacrosse,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.7,8.7,11.5,25,264
Buick,Lacrosse,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Ethanol E85,18.4,12.2,15.6,18,250
Buick,Lacrosse Awd,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.7,8.9,11.5,25,264
Buick,Lacrosse Awd,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Ethanol E85,19.4,13,16.5,17,264
Buick,Lacrosse Eassist,Mid Size,2.4,4,Automatic Select Shift 6 Speed,Regular Gasoline,9.6,6.5,8.2,34,189
Buick,Regal,Mid Size,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,11.5,7.9,9.9,29,228
Buick,Regal,Mid Size,2,4,Manual 6 Speed,Premium Gasoline,11.6,7.5,9.8,29,225
Buick,Regal Awd,Mid Size,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,12.3,8.7,10.7,26,246
Buick,Regal Eassist,Mid Size,2.4,4,Automatic Select Shift 6 Speed,Regular Gasoline,9.6,6.5,8.2,34,189
Buick,Verano,Compact,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,11.5,7.9,9.9,29,228
Buick,Verano,Compact,2,4,Manual 6 Speed,Premium Gasoline,11.6,7.5,9.8,29,225
Buick,Verano,Compact,2.4,4,Automatic Select Shift 6 Speed,Regular Gasoline,11.3,7.4,9.5,30,218
Cadillac,Ats,Compact,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,11.3,7.5,9.6,29,221
Cadillac,Ats,Compact,2,4,Manual 6 Speed,Premium Gasoline,12.1,7.9,10.2,28,235
Cadillac,Ats,Compact,2.5,4,Automatic Select Shift 6 Speed,Regular Gasoline,10.5,7.2,9,31,207
Cadillac,Ats,Compact,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,12.8,8.5,10.9,26,251
Cadillac,Ats Awd,Compact,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,11.8,8.1,10.1,28,232
Cadillac,Ats Awd,Compact,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.1,9,11.3,25,260
Cadillac,Cts Coupe,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.2,8.7,11.2,25,258
Cadillac,Cts Coupe Awd,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.3,9,11.4,25,262
Cadillac,Cts Sedan,Mid Size,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,11.9,7.9,10.1,28,232
Cadillac,Cts Sedan,Mid Size,3.6,6,Automatic Select Shift 8 Speed,Regular Gasoline,12.9,8.2,10.8,26,248
Cadillac,Cts Sedan Awd,Mid Size,2,4,Automatic Select Shift 6 Speed,Premium Gasoline,12.6,8.5,10.8,26,248
Cadillac,Cts Sedan Awd,Mid Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.1,9,11.3,25,260
Cadillac,Cts Sedan Vsport,Mid Size,3.6,6,Automatic Select Shift 8 Speed,Premium Gasoline,15.1,9.9,12.8,22,294
Cadillac,Cts Sport Wagon,Station Wagon Small,3,6,Automatic Select Shift 6 Speed,Regular Gasoline,12.7,8.9,11,26,253
Cadillac,Cts Sport Wagon,Station Wagon Small,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.3,8.9,11.3,25,260
Cadillac,Cts Sport Wagon Awd,Station Wagon Small,3,6,Automatic Select Shift 6 Speed,Regular Gasoline,12.8,9.1,11.1,25,255
Cadillac,Cts Sport Wagon Awd,Station Wagon Small,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.3,9,11.4,25,262
Cadillac,Cts-V Coupe,Mid Size,6.2,8,Automatic Select Shift 6 Speed,Premium Gasoline,19.7,12.9,16.6,17,382
Cadillac,Cts-V Coupe,Mid Size,6.2,8,Manual 6 Speed,Premium Gasoline,16.7,12.5,14.8,19,340
Cadillac,Cts-V Sedan,Mid Size,6.2,8,Automatic Select Shift 6 Speed,Premium Gasoline,19.7,12.9,16.6,17,382
Cadillac,Cts-V Sedan,Mid Size,6.2,8,Manual 6 Speed,Premium Gasoline,16.7,12.5,14.8,19,340
Cadillac,Cts-V Sport Wagon,Station Wagon Small,6.2,8,Automatic Select Shift 6 Speed,Premium Gasoline,19.7,12.9,16.6,17,382
Cadillac,Cts-V Sport Wagon,Station Wagon Small,6.2,8,Manual 6 Speed,Premium Gasoline,16.7,12.5,14.8,19,340
Cadillac,Escalade Awd,SUV Standard,6.2,8,Automatic 6 Speed,Premium Gasoline,17,11.8,14.7,19,338
Cadillac,Escalade Awd,SUV Standard,6.2,8,Automatic 6 Speed,Ethanol E85,23.3,16.1,20.1,14,322
Cadillac,Escalade Esv Awd,SUV Standard,6.2,8,Automatic 6 Speed,Premium Gasoline,18.8,13.4,16.4,17,377
Cadillac,Escalade Esv Awd,SUV Standard,6.2,8,Automatic 6 Speed,Ethanol E85,25.7,17.8,22.1,13,354
Cadillac,Srx,SUV Standard,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,14.3,9.8,12.3,23,283
Cadillac,Srx Awd,SUV Standard,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,14.8,10.4,12.8,22,294
Cadillac,Xts,Full Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.6,8.6,11.4,25,262
Cadillac,Xts Awd,Full Size,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,14,9.1,11.8,24,271
Cadillac,Xts Vsport Awd,Full Size,3.6,6,Automatic Select Shift 6 Speed,Premium Gasoline,14.8,9.8,12.6,22,290
Chevrolet,Camaro,Compact,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,13.2,8.7,11.2,25,258
Chevrolet,Camaro,Compact,3.6,6,Manual 6 Speed,Regular Gasoline,14.2,8.6,11.7,24,269
Chevrolet,Camaro 2Ls,Compact,3.6,6,Automatic Select Shift 6 Speed,Regular Gasoline,12.7,7.9,10.5,27,242
Chevrolet,Camaro Ss,Compact,6.2,8,Automatic Select Shift 6 Speed,Premium Gasoline,15.3,9.8,12.8,22,294
Chevrolet,Camaro Ss,Compact,6.2,8,Manual 6 Speed,Premium Gasoline,15,9.9,12.7,22,292
Chevrolet,Camaro Zl1,Compact,6.2,8,Automatic Select Shift 6 Speed,Premium Gasoline,19.7,12.9,16.6,17,382
Chevrolet,Camaro Zl1,Compact,6.2,8,Manual 6 Speed,Premium Gasoline,16.7,12.5,14.8,19,340
Chevrolet,Corvette,Two Seater,6.2,8,Automatic Select Shift 6 Speed,Premium Gasoline,14.9,8.5,12,24,276
Chevrolet,Corvette,Two Seater,6.2,8,Manual 7 Speed,Premium Gasoline,13.7,8.2,11.2,25,258
Chevrolet,Cruze,Mid Size,1.4,4,Automatic Select Shift 6 Speed,Regular Gasoline,9.1,6.3,7.8,36,179
Chevrolet,Cruze,Mid Size,1.4,4,Manual 6 Speed,Regular Gasoline,9.1,6.3,7.8,36,179
Chevrolet,Cruze,Mid Size,1.8,4,Automatic Select Shift 6 Speed,Regular Gasoline,10.5,6.7,8.8,32,202
Chevrolet,Cruze,Mid Size,1.8,4,Manual 6 Speed,Regular Gasoline,9.5,6.5,8.2,34,189
Chevrolet,Cruze Diesel,Mid Size,2,4,Automatic Select Shift 6 Speed,Diesel,8.7,5.1,7.1,40,192
Chevrolet,Cruze Eco,Mid Size,1.4,4,Automatic 6 Speed,Regular Gasoline,9.1,6,7.7,37,177
Chevrolet,Cruze Eco,Mid Size,1.4,4,Manual 6 Speed,Regular Gasoline,8.4,5.6,7.1,40,163
Chevrolet,Equinox,SUV Small,2.4,4,Automatic 6 Speed,Regular Gasoline,10.5,7.3,9.1,31,209
Chevrolet,Equinox,SUV Small,3.6,6,Automatic 6 Speed,Regular Gasoline,13.9,9.6,12,24,276
Chevrolet,Equinox,SUV Small,3.6,6,Automatic 6 Speed,Ethanol E85,18.8,13.1,16.2,17,259
Chevrolet,Equinox Awd,SUV Small,2.4,4,Automatic 6 Speed,Regular Gasoline,11.5,8.2,10,28,230
Chevrolet,Equinox Awd,SUV Small,3.6,6,Automatic 6 Speed,Regular Gasoline,14.8,9.9,12.6,22,290
Chevrolet,Equinox Awd,SUV Small,3.6,6,Automatic 6 Speed,Ethanol E85,19.8,13.6,17,17,272
Chevrolet,Express 1500 Cargo,Van Cargo,4.3,6,Automatic 4 Speed,Regular Gasoline,17.1,12.7,15.1,19,347
Chevrolet,Express 1500 Cargo,Van Cargo,5.3,8,Automatic 4 Speed,Regular Gasoline,18,13.4,15.9,18,366
Chevrolet,Express 1500 Cargo,Van Cargo,5.3,8,Automatic 4 Speed,Ethanol E85,23.5,17.7,20.9,14,334
Chevrolet,Express 1500 Cargo Awd,Van Cargo,5.3,8,Automatic 4 Speed,Regular Gasoline,18.3,14.2,16.5,17,380
Chevrolet,Express 1500 Cargo Awd,Van Cargo,5.3,8,Automatic 4 Speed,Ethanol E85,23.7,18.8,21.5,13,344
Chevrolet,Express 1500 Cargo Conv,Van Cargo,5.3,8,Automatic 4 Speed,Regular Gasoline,18.6,13.9,16.5,17,380
Chevrolet,Express 1500 Cargo Conv,Van Cargo,5.3,8,Automatic 4 Speed,Ethanol E85,23.9,18.5,21.5,13,344
Chevrolet,Express 1500 Cargo Conv Awd,Van Cargo,5.3,8,Automatic 4 Speed,Regular Gasoline,18.3,14.2,16.5,17,380
Chevrolet,Express 1500 Cargo Conv Awd,Van Cargo,5.3,8,Automatic 4 Speed,Ethanol E85,25.3,19.3,22.6,12,362
Chevrolet,Express 1500 Passenger,Van Passenger,5.3,8,Automatic 4 Speed,Regular Gasoline,18.6,13.9,16.5,17,380
Chevrolet,Express 1500 Passenger,Van Passenger,5.3,8,Automatic 4 Speed,Ethanol E85,23.9,18.5,21.5,13,344
Chevrolet,Express 1500 Passenger Awd,Van Passenger,5.3,8,Automatic 4 Speed,Regular Gasoline,18.3,14.2,16.5,17,380
Chevrolet,Express 1500 Passenger Awd,Van Passenger,5.3,8,Automatic 4 Speed,Ethanol E85,25.3,19.3,22.6,12,362
Chevrolet,Express 2500 Passenger,Van Passenger,4.8,8,Automatic 6 Speed,Regular Gasoline,21.1,14.2,18,16,414
Chevrolet,Express 2500 Passenger,Van Passenger,6,8,Automatic 6 Speed,Regular Gasoline,21.9,15,18.8,15,432
Chevrolet,Express 2500 Passenger,Van Passenger,6,8,Automatic 6 Speed,Ethanol E85,30,20.4,25.7,11,411
